INFO:__main__:Using framework: os_ken
INFO:__main__:OpenFlow listen port: 6633
INFO:os_ken.base.app_manager:loading app os_ken.controller.ofp_handler
INFO:os_ken.base.app_manager:loading app ryu_controller
INFO:os_ken.base.app_manager:loading app os_ken.controller.ofp_handler
INFO:os_ken.base.app_manager:instantiating app os_ken.controller.ofp_handler of OFPHandler
INFO:os_ken.base.app_manager:instantiating app ryu_controller of SimpleSDNMonitor
INFO:ryu_controller:CSV logging → stats: /mnt/mpclient/logs/flow_stats_20260331_193354.csv
INFO:ryu_controller:CSV logging → events: /mnt/mpclient/logs/events_20260331_193354.csv
INFO:__main__:Controller started with 1 services.
INFO:ryu_controller:Installed table-miss flow on datapath 1
INFO:ryu_controller:Datapath 1 connected
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=26
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=27
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=27
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=28
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=28
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=29
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=29
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=30
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=30
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=31
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=31
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=32
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=32
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=33
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=33
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=34
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=34
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=35
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=35
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=36
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=36
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=37
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=37
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=38
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=38
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=39
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=39
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=40
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=40
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=41
