timestamp,dpid,src_ip,packet_count,pkt_rate,ema,sustain_count,action
2026-04-03T18:38:42.829283,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:42.829329,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:42.829337,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:45.009669,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:45.009704,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:45.009710,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:45.009716,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:45.009720,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:45.009724,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:46.649888,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:46.649919,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:46.649925,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:46.649930,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:46.649935,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:46.649939,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:47.940168,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:47.940216,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:47.940222,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:47.940231,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:47.940236,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:47.940240,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:49.153266,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:49.153300,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:49.153306,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:49.153312,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:49.153316,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:49.153321,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:50.174345,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:50.174386,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:50.174398,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:50.174410,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:50.174422,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:50.174433,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:51.174172,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:51.174206,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:51.174231,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:51.174239,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:51.174244,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:51.174248,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:53.314417,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:53.314455,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:53.314462,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:53.314467,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:53.314472,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:53.314477,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:54.651333,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:54.651367,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:54.651373,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:54.651378,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:54.651382,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:54.651386,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:55.836940,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:55.836983,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:55.836996,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:55.837007,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:55.837018,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:55.837027,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:57.782855,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:57.782889,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:57.782895,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:57.782900,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:57.782905,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:57.782909,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:59.436967,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:59.437005,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:59.437012,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:38:59.437017,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:38:59.437023,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:38:59.437037,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:39:01.948901,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:39:01.948932,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:39:01.948938,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:39:01.948943,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:39:01.948948,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:39:01.948952,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:39:02.949891,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:39:02.949923,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:39:02.949929,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:39:02.949933,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:39:02.949938,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:39:02.949942,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:39:04.669210,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:39:04.669243,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:39:04.669249,1,10.0.0.1,1,0.00,0.00,0,normal
2026-04-03T18:39:04.669254,1,10.0.0.3,1,0.00,0.00,0,normal
2026-04-03T18:39:04.669258,1,10.0.0.2,1,0.00,0.00,0,normal
2026-04-03T18:39:04.669262,1,10.0.0.3,1,0.00,0.00,0,normal
