timestamp,dpid,src_ip,event_type,ema,threshold,detail
2026-03-31T19:40:37.934523,1,10.0.0.1,anomaly_detected,1934.82,500.00,sustain=1/3
2026-03-31T19:40:37.937603,1,10.0.0.2,anomaly_detected,1936.68,500.00,sustain=1/3
2026-03-31T19:40:38.933980,1,10.0.0.1,anomaly_detected,1160.89,500.00,sustain=2/3
2026-03-31T19:40:38.936660,1,10.0.0.2,anomaly_detected,1162.01,500.00,sustain=2/3
2026-03-31T19:40:39.937034,1,10.0.0.1,mitigation,696.54,500.00,drop flow installed
2026-03-31T19:40:39.942529,1,10.0.0.2,mitigation,697.21,500.00,drop flow installed
2026-03-31T19:41:15.005851,1,10.0.0.1,unblock_heuristic,239.35,500.00,ema dropped below 60% threshold
2026-03-31T19:41:15.008361,1,10.0.0.2,unblock_heuristic,239.35,500.00,ema dropped below 60% threshold
